,planet_name,star_name,disposition,is_planet,prediction_probability,predicted_is_planet,right_ascens,declination,distance_pc,planet_radius,planet_temp,planet_insolation,period,orbit_semi_major_axis,trans_depth,trans_duration,transit_midpoint,impact,stellar_radius,stellar_temp,stellar_logg,stellar_luminosity,stellar_mass,tmag,planet_star_radius_ratio,fitted_stellar_density,planet_count
16,1015.01,TOI-1015,FP,0,,,122.895964,-27.971896,906.496,42.1479417,1912.3318636,3160.6328329,1.3730466,,0.0013015065337999,2.5708515,2459963.610065,,6.7996101,4897.0,,23.95422447194726,,10.7069,6.198582136349259,,1
17,1016.01,TOI-1016,FP,0,,,116.110771,-36.098285,368.646,14.0608342,1158.1310368,425.1594177,12.6889415,0.1284874386447616,0.0032328527884999,7.9201001,2459238.831138,,1.53641,7601.0,4.31,7.098896735945203,3.4950430815167145e+30,10.6257,9.151746083402216,,1
18,1017.01,TOI-1017,FP,0,0.3011851906776428,0.0,124.726411,-37.78325,406.997,21.0448,3926.0,39459.3,1.10422,0.0216517654989566,0.0141777,2.37,2458518.96536,0.7704698326662951,1.61,6995.2,4.07,5.591727179993865,2.2084625297220545e+30,10.6019,13.071304347826086,1940.348151269036,1
19,1018.01,TOI-1018,FP,0,0.4617049694061279,0.0,111.716019,-50.266567,360.541,22.9123,1419.0,673.55,4.95912,0.0579689454841988,0.00744,2.509,2458492.78078,1.0,2.0,5889.0,3.86,4.334309171756214,2.10134941958255e+30,10.6254,11.45615,5068.318817814475,1
20,1019.01,TOI-1019,PC,1,0.8178495764732361,1.0,120.147994,-54.878552,399.544,24.2931408,1574.8381848,1453.6663847,5.2341008,0.0714375623232925,0.0207969416293,3.7078139,2459232.446864,0.6881238997971378,1.56203,7645.0,4.3,7.509004739067795,3.530343989584603e+30,10.6348,15.552288240302683,3917.0362351604326,1
21,102.01,TOI-102,KP,2,0.4582497179508209,0.0,87.139821,-63.988329,175.631,15.4706,1408.0,653.252,4.4119378,0.054637249168452,0.015062,3.65,2460187.916571,0.3770946619770575,1.21,6280.0,4.32092,2.051648673881622,2.222946567045909e+30,9.7109,12.785619834710744,2002.4610697547369,1
22,1020.01,TOI-1020,FP,0,,,128.381976,-43.828421,906.827,,3661.0,29832.6,3.28892,,0.0105189,3.793,2458521.29108,,,8734.2,4.1,,,10.7173,,,1
23,1021.01,TOI-1021,FP,0,0.6013155579566956,1.0,119.30075,-42.999149,235.974,3.34688,1561.0,985.807,1.90879,0.0366143205447285,0.000618482,1.909,2458492.90429,0.580586083016343,1.22,6022.6,4.52,1.764206504049979,3.5740279492382964e+30,10.5551,2.743344262295082,117.0252040204784,1
24,1022.01,TOI-1022,FA,0,,,162.96491,-5.788708,120.666,3.4262,3230.0,18087.9,3.09574,0.0412630556597596,0.00038,4.475,2458547.448,,1.41,6084.0,4.13,2.454080050867535,1.9448069971409047e+30,8.72924,2.4299290780141845,,1
25,1023.01,TOI-1023,FP,0,0.1095597445964813,0.0,120.837688,-51.345626,316.398,21.8839,3827.0,35623.2,1.3214483,0.0249298635458812,0.00218,3.435,2459303.303969,0.8754246299317672,2.99,5050.8,3.56,5.241755289165822,2.353860167291209e+30,9.697,7.319030100334448,155.68829626998658,1
26,1024.01,TOI-1024,FP,0,,,86.820714,-72.422611,692.266,21.644,463.0,7.64364,18.0157,,0.00061,2.524,2458339.72276,,7.61,4709.0,,25.6553387599048,,10.0814,2.844152431011826,,1
27,1025.01,TOI-1025,PC,1,,,142.521159,-51.517114,129.838,,1914.698926,3176.3106916,9.6837921,,0.0042382399008,2.4006056,2458545.149804,,,8598.7,,,,5.5324,,,1
28,1026.01,TOI-1026,FP,0,,,125.434634,-51.759442,105.677,2.4765813,980.3628831,153.2069421,14.2628757,0.1155174838205116,0.0009132067174,6.9350494,2460720.807674,,0.853898,5690.0,4.58,0.6885805267035178,2.010250948786259e+30,9.9138,2.9003245118269394,,1
29,1027.01,TOI-1027,PC,1,0.6971126794815063,1.0,167.133275,-29.653135,56.3449,2.87648,992.0,161.092,3.2834565,0.0378558014056398,0.001558,1.537,2460037.86905,0.7354721400818314,0.68,4272.0,4.6,0.1387511143497027,1.3349226701431534e+30,10.2103,4.230117647058823,1058.8999727606458,1
30,1027.02,TOI-1027,PC,1,0.6825158596038818,1.0,167.133275,-29.653135,56.3449,2.76586,548.0,15.0463,11.02875,0.0849041909756232,0.001694,2.715,2460032.53325,0.5721264690042764,0.68,4272.0,4.6,0.1387511143497027,1.3349226701431534e+30,10.2103,4.067441176470588,593.263573671469,2
31,1027.03,TOI-1027,PC,1,0.6458112597465515,1.0,167.133275,-29.653135,56.3449,2.52314,567.0,17.1793,5.0113292,0.0501818754952274,0.00121,1.024,2460032.57304,0.9428416780664276,0.68,4272.0,4.6,0.1387511143497027,1.3349226701431534e+30,10.2103,3.7105,3869.3695244081673,3
32,1028.01,TOI-1028,FP,0,,,157.098337,-51.705409,23.7748,1.20704,2023.0,2784.04,1.01606,0.0178590287438636,0.00024,2.843,2458544.48066,,0.68,4634.0,4.64,0.1921036521588798,1.463713601349209e+30,7.9059,1.7750588235294116,,1
33,1029.01,TOI-1029,FP,0,,,88.73909,-65.958839,,,,,36.22214,,0.00717,5.107,2458365.89313,,,,,,,6.841,,,1
34,103.01,TOI-103,KP,2,0.6850138306617737,1.0,312.457488,-24.428694,411.211,14.581841,1504.858953,1212.004376,3.547854,0.0485238042020088,0.0104243718,3.494333,2458327.25256,0.5258842346009842,1.4,6351.0,4.22896,2.8728847274464724,2.407988200114708e+30,11.5232,10.415600714285716,1039.9375478356733,1
35,1030.01,TOI-1030,FP,0,0.3606292605400085,0.0,155.831478,-57.590248,78.41273,17.6729,1057.0,207.32,12.1246519,0.0879578008512951,0.007279,4.612,2460054.783937,0.7421026669577065,1.07,4807.6,4.17,0.5510291063059818,1.2280211267518202e+30,9.5706,16.516728971962614,5587.430909063714,1
36,1031.01,TOI-1031,FP,0,0.2405047565698623,0.0,140.88389,-67.026006,270.771,8.94354,2011.0,2717.06,5.652623,0.0674952418912012,0.00125,3.434,2459304.837939,0.8519235327165494,1.92,6415.4,3.98,5.6258881668802365,2.552940778684072e+30,9.7318,4.658093750000001,206.03599949258532,1
37,1032.01,TOI-1032,PC,1,0.8435758948326111,1.0,159.221506,-42.541639,587.196,14.7738943,2385.8536488,7657.6621505,5.6643704,0.0864866192023428,0.0034918232968,3.8087395,2459283.828685,0.7931139427290081,2.3383701,10395.0,4.13,57.519903838476765,5.348903729460867e+30,9.7611,6.318030794184376,332.9013527110672,1
38,1033.01,TOI-1033,FP,0,,,87.282586,-60.498444,219.94,6.77406,,33.2234,29.0160175,,0.001389,5.345,2460195.100648,,2.01,6113.1,,5.083136752850645,,10.0163,3.3701791044776126,,1
39,1034.01,TOI-1034,FP,0,0.1039922833442688,0.0,134.441752,-49.000578,363.44,3.7025342,2783.098027,9941.2265514,3.6404389,0.063166813441527,0.0004763077321,2.5339234,2460768.617427,0.6708889843733459,1.60776,9810.0,4.43,21.56811282907961,5.0452271258134354e+30,9.8174,2.302914738518187,63.83224898809357,1
40,1035.01,TOI-1035,PC,1,0.5163514614105225,1.0,144.150273,-61.583182,347.556,30.9493217,1583.9398898,1487.5644344,6.0744477,0.0668384428181661,0.0059825212406,2.4954821,2459286.872605,1.0,2.4303801,5964.0,3.7,6.732752013008089,2.1467757660781216e+30,10.1126,12.734354474018282,8472.810996544174,1
41,1036.01,TOI-1036,PC,1,0.8464733958244324,1.0,157.867112,-42.240448,184.015,5.98375,1294.0,466.528,3.7795212,0.0480601202906406,0.002761,2.952,2460037.172273,0.5415183344938556,1.18,5771.0,4.31,1.3914320099660205,2.0615899939310027e+30,10.2855,5.070974576271187,273.9562542795229,1
42,1037.01,TOI-1037,FP,0,0.1012278571724891,0.0,147.385172,-63.306478,279.698,6.31106,5952.0,208477.0,1.2025238,0.0292415873403548,0.00039,1.991,2459331.124512,0.6738828411636701,1.74,9158.0,4.32,19.186454655079107,4.587084913548222e+30,9.0211,3.627045977011495,123.26704648315916,1
43,1038.01,TOI-1038,FP,0,,,128.454638,-49.940347,280.765,5.51341,,2064.8,3.2235985,0.0547990181743558,0.00068,2.159,2459273.371643,0.9057765175453854,2.17,8904.0,4.09,26.66574681441722,4.201049035629366e+30,8.7157,2.5407419354838714,108.3421805052266,1
44,1039.01,TOI-1039,APC,1,,,149.688545,-58.760453,2864.34,,,,4.420125,,0.002466,3.956,2460031.2166,,,,,,,8.5483,,,1
45,104.01,TOI-104,KP,2,0.5058658123016357,0.0,319.949697,-58.148933,316.678,13.6237732,1755.0767383,2242.3605401,4.0872956,0.0577814120634616,0.0035721712499,5.586113,2460150.608677,0.3344499469763874,2.2186699,6036.0,3.93359,5.886755328960517,3.063470241824071e+30,9.8638,6.140513827676664,71.76068795089306,1
46,1040.01,TOI-1040,FP,0,,,128.61421,-61.488262,732.432,11.5901,2145.0,3520.68,2.55555,,0.00034,1.566,2458520.65674,,6.04,10037.0,,333.5671329083192,,8.3854,1.918890728476821,,1
47,1041.01,TOI-1041,FP,0,0.2159742712974548,0.0,138.402252,-55.19791,305.034,43.1068,1924.0,2276.25,8.30792,0.1058685800733286,0.00835,3.228,2459261.801216,1.0,3.05,9081.0,3.83,56.99385847763702,4.560767799543288e+30,8.0981,14.133377049180329,7172.500661239929,1
48,1042.01,TOI-1042,PC,1,0.2658938765525818,0.0,141.975215,-61.33004,792.633,10.1273702,5499.7476332,216218.1005011,0.758082,0.0221552835909353,0.00058393181,1.8184632,2459281.337956,0.9336939666043044,3.5086601,9917.0,3.75,107.27475405124147,5.0201983816424704e+30,9.718,2.8863925006585847,57.08678258114495,1
49,1043.01,TOI-1043,FP,0,0.0387777425348758,0.0,128.302319,-52.714202,208.055,3.61078,3174.0,16861.8,1.4415577,0.0285774015252213,0.000507,2.349,2459985.770425,0.5480437579717129,1.52,6902.0,4.25,4.7236822273891335,2.979376987254409e+30,9.5719,2.375513157894737,34.65946154439585,1
50,1044.01,TOI-1044,PC,1,,,153.811023,-58.766393,494.689,,,,1.0085089,,0.003051,1.642,2460037.194672,,,5215.2,,,,10.0031,,,1
51,1045.01,TOI-1045,FP,0,0.5620390176773071,1.0,159.887704,-32.51188,300.696,17.57,2149.0,3546.13,3.7039994,0.0603284263755535,0.00759,4.277,2459301.544126,0.3339020555539327,1.9,7013.8,4.21,7.870718701664829,4.245662667036836e+30,9.6306,9.247368421052633,428.9633741636933,1
52,1046.01,TOI-1046,FP,0,0.2067139446735382,0.0,126.419468,-60.907514,301.298,9.36472,3569.0,26944.7,1.3042553,0.0263738033744008,0.000914,1.706,2460177.867195,0.8902357773872035,1.75,6762.0,4.11,5.76860020884216,2.860977092201622e+30,10.0119,5.351268571428571,550.9382511413706,1
53,1047.01,TOI-1047,FP,0,0.7932550311088562,1.0,144.581535,-67.505097,134.926,5.72162,2101.0,3235.57,0.62627,0.0143131546161495,0.00188,0.666,2458544.79061,0.9505871191887646,0.93,5622.0,4.5,0.778436050353847,1.9833720106016804e+30,10.2355,6.152279569892473,6369.191770445435,1
54,1048.01,TOI-1048,FP,0,0.3823673129081726,0.0,136.527702,-54.903922,440.426,10.417,6413.0,280833.0,0.30412,0.0130377507216573,0.00133,0.748,2458518.376,0.974088069670779,2.52,11892.0,4.14,114.42327185274677,6.356811957172823e+30,8.802,4.133730158730159,784.8294941775341,1
55,1049.01,TOI-1049,KP,2,0.486720323562622,0.0,253.768848,-28.710584,314.995,16.808853,1654.404068,1770.4650539,2.1805277,0.0324243954536972,0.0163401353205,2.969175,2459363.821393,0.5489925807989146,1.2714601,6599.0,4.21017,2.761923617471288,1.902014200657488e+30,11.0657,13.220118350548317,2015.6456938255596,1
56,105.01,TOI-105,KP,2,0.1486563682556152,0.0,337.457824,-48.003099,137.544,13.7028527,1549.4409801,1362.1381428,2.1846669,0.0362712366988861,0.0117080228549,2.86528,2459084.58501,0.2086211777284619,1.23824,5630.0,4.37759,1.3878320615436444,2.6523934189971665e+30,9.4995,11.06639480230004,1375.4470660113775,1
57,1050.01,TOI-1050,KP,2,0.6229649186134338,1.0,239.962248,-28.061794,405.908,21.2315,1670.0,1292.19,3.7354838,0.0515667781550868,0.01703,4.142,2459355.54563,0.4605590373235099,1.57,6650.0,4.1639,4.342897349164224,2.606979330551339e+30,11.0261,13.523248407643312,1356.0460879402629,1
58,1051.01,TOI-1051,FA,0,,,40.365939,-71.462749,53.19149,2.3751494,685.2,52.095,21.701669,0.2052192398502664,0.0002116567325,8.2676424,2458657.736625,,1.56486,5625.0,4.438,2.2086899977073915,4.868433723387131e+30,7.1278,1.5178031261582507,,1
59,1052.01,TOI-1052,CP,2,0.6012354493141174,1.0,337.510274,-75.646561,129.804,3.0629855,1006.9932829,243.011763,9.139804,0.1076386654235693,0.0003584157801,3.0912936,2458332.941229,0.7843256534871672,1.58,5958.2,4.34,2.834445825870278,3.960522245355962e+30,9.0197,1.9385984177215188,59.26734174447984,1
60,1053.01,TOI-1053,FP,0,,,290.977117,-33.351416,263.729,13.088532,,,5.742625,0.0629026966817457,0.001105760867,2.860293,2458657.999179,1.0,3.86959,5664.0,3.26574,13.88406253469898,2.002203366070054e+30,8.8849,3.3824079553647803,160.76992586750995,1
61,1054.01,TOI-1054,CP,2,0.5851314067840576,1.0,302.114174,-54.317501,88.4343,2.43432,853.0,88.0718,15.5077855,0.1223675005981257,0.000513,4.565,2460122.700139,0.5361642296073855,1.17,6122.0,4.30881,1.7323622155686038,2.0212498772965423e+30,8.4362,2.0806153846153848,38.38165631021514,1
62,1055.01,TOI-1055,CP,2,0.7138329148292542,1.0,293.286615,-54.532728,57.2651,3.5766828,689.3568807,53.3700317,17.4713078,0.1357617321063242,0.0011997541483,4.4284819,2458661.062711,0.284089128857594,0.974669,5783.54,4.49925,0.957597401951742,2.174716199607056e+30,8.0888,3.66963841057836,171.79755815793413,1
63,1056.01,TOI-1056,PC,1,0.6399089097976685,1.0,339.258703,-76.917605,168.354,3.0486928,1263.9861129,603.2401116,5.3079507,0.0702412802350719,0.0003913830934,3.2158594,2458326.062424,0.525609880719172,1.36963,6124.3,4.38,2.3775301040956838,3.2632083475186363e+30,9.6663,2.225924373735973,43.40029119432744,1
64,1057.01,TOI-1057,PC,1,0.8347007632255554,1.0,127.996917,-78.407564,98.2855,2.9366826,466.7322968,11.2148229,51.1701501,0.2641357563312747,0.0008514547807999,6.6641048,2458607.350901,0.0655101743051421,0.943356,5599.0,4.46138,0.7879284469221766,1.867108323860113e+30,9.4091,3.11301629501482,101.42132262987768,1
65,1058.01,TOI-1058,PC,1,,,288.911772,-31.790813,338.831,12.8402271,1518.2372485,1255.6817164,11.1296441,0.207125899059894,0.0009516169809,7.0473822,2458663.023129,,3.4475601,5785.0,4.344,11.993082550481148,1.9031016012352335e+31,9.3781,3.724438944516152,,1
66,1059.01,TOI-1059,PC,1,0.9174723029136658,1.0,269.714503,-60.922727,98.8783,17.0216,694.0,38.5799,9.4496506,0.0813694526066602,0.01975,2.021,2460106.337519,1.0,0.94,5509.0,4.39758,0.7332304207298918,1.6005674855837516e+30,9.7825,18.10808510638298,67081.64416801765,1
67,106.01,TOI-106,KP,2,,,68.959816,-64.027039,364.411,16.3869,1864.0,2005.83,2.8493825,0.0575512822417745,0.008049,3.567,2460201.638583,,1.77,6900.0,4.438,6.39788712754851,6.228519318186689e+30,10.3157,9.25813559322034,,1
68,1060.01,TOI-1060,APC,1,0.892254114151001,1.0,299.290995,-48.934476,128.491,3.89739,619.0,24.409,2.0685633,0.0392604044424387,0.000502,0.373,2460149.536226,1.0,1.14,5687.9,4.6,1.2254940032486457,3.751871760635902e+30,9.6652,3.418763157894737,26805.14263313079,1
69,1061.01,TOI-1061,FP,0,,,284.688908,-41.242483,133.171,2.28501,,,0.540933,0.0128694572327216,0.000257347459,1.674337,2458654.253249,0.4347740551116094,1.21935,5525.0,4.25342,1.2481867639181332,1.9324801795310652e+30,9.7345,1.8739574363390332,22.28413829540725,1
70,1062.01,TOI-1062,CP,2,0.7793647646903992,1.0,38.120968,-78.023683,82.1733,2.30057,826.0,77.3573,4.1150576,0.0491159944481842,0.000487,1.08,2460177.200429,0.9389854139782188,0.89,5394.0,4.50942,0.6041119964271958,1.8562578204123665e+30,9.478,2.5849101123595504,1140.937221568106,1
71,1063.01,TOI-1063,PC,1,0.7360682487487793,1.0,230.555493,-83.056214,61.1201,2.7272824,694.1792631,54.8791715,10.0665238,0.0896377879130041,0.0008399044871,2.4023189,2458629.391681,0.6969252933257277,0.791742,5552.0,4.61783,0.5366101408347392,1.88553956890707e+30,9.0689,3.4446605080948087,517.9747112019404,1
72,1064.01,TOI-1064,CP,2,0.6718989610671997,1.0,296.003935,-47.56203,68.0726,2.460344,712.2812841,60.831305,6.4438657,0.0589276618380536,0.0011219512275,1.9309449,2458656.668478,0.779401547465093,0.737189,4803.0,4.52079,0.2605563833103542,1.3073322524913944e+30,10.0059,3.337467053903409,586.3894778901685,1
73,1064.02,TOI-1064,CP,2,0.4942286312580108,0.0,296.003935,-47.56203,68.0726,2.6014766,575.3502049,25.8970378,12.2265595,0.0903145521586856,0.0012063693293,2.1904379,2458664.490132,0.8270372045992833,0.737189,4803.0,4.52079,0.2605563833103542,1.3073322524913944e+30,10.0059,3.528914023405124,866.2062665833373,2
74,1065.01,TOI-1065,KP,2,,,286.36675,-50.06735,639.004,22.503541,,,2.160344,0.0339730936423363,0.019357992992,1.828854,2458654.347994,0.9580446546308614,1.2,5780.0,4.32928,1.447996539740671,2.2288496581753335e+30,13.2851,18.752950833333333,22875.443967393257,1
75,1066.01,TOI-1066,KP,2,,,285.096517,-54.893341,353.891,12.962219,,,4.606184,0.0547296114456911,0.013793034867,3.121643,2458657.832537,0.5311672275951953,1.07,5670.0,4.3925,1.0660890169725603,2.049773331349189e+30,11.9707,12.11422336448598,2873.239072675514,1
76,1067.01,TOI-1067,KP,2,0.475328117609024,0.0,288.672005,-59.57935,263.609,9.4995191,890.5622134,148.6544991,3.1316735,0.0350986700391193,0.0149156943722,2.4579197,2458656.987874,0.4665673061144847,0.76701,4351.0,4.438,0.1899555835627758,1.1696080140719211e+30,13.1686,12.38513070233765,4257.663015390772,1
77,1068.01,TOI-1068,KP,2,,,284.399762,-49.138513,535.383,13.446487,,,3.180362,0.0413233238518565,0.021192463324,2.111521,2458656.633231,0.7622317969543012,0.92,5498.0,4.47934,0.6967681252588969,1.8507763350129413e+30,13.2887,14.615746739130431,10810.522103451302,1
78,1069.01,TOI-1069,KP,2,0.7826865315437317,1.0,289.479212,-32.860124,197.996,14.4339,1461.0,758.324,2.9776446,0.0402847604774465,0.013022,2.962,2460147.378764,0.6112226200564335,1.22,5703.0,4.25824,1.4184917881498542,1.95613103938789e+30,10.4293,11.831065573770491,2034.4544188279745,1
79,107.01,TOI-107,KP,2,0.5923781991004944,1.0,313.783239,-34.135751,211.211,20.5357,1570.0,1009.38,3.9502008,0.05739920096826,0.013914,4.444,2460176.993334,0.3196633109194718,1.71,6153.0,4.18077,3.776013683240806,3.2151445548442386e+30,9.6433,12.009181286549708,834.9788834365837,1
80,1070.01,TOI-1070,FP,0,0.3182640969753265,0.0,289.478541,-32.861327,,26.88423,1386.5,873.27,2.9776152,0.042692804672201,0.043218111683,3.25697,2458655.579241,0.6058931222280809,1.28,5740.0,4.29219,1.6023640293651784,2.3283497741251185e+30,15.7114,21.0033046875,7734.262613210243,1
81,1071.01,TOI-1071,KP,2,0.6790968179702759,1.0,280.184169,-58.459388,290.198,13.200677,1214.9876435,515.0014435,3.5544026,0.0465769148324737,0.0101648753396,2.0550535,2458655.394059,0.8754530333086746,1.11499,5639.0,4.37172,1.132515100179434,2.1217793958611287e+30,11.5803,11.83927837917829,7259.476488651282,1
82,1072.01,TOI-1072,FP,0,,,75.627307,-72.913998,703.878,25.4886382,1225.0,374.129,12.8379689,0.1819085086220656,0.0105390192794,9.8464123,2459211.732146,,2.4494,5765.0,4.34773,5.970495176176151,9.689195305173076e+30,11.7106,10.406074222258514,,1
83,1073.01,TOI-1073,CP,2,0.4213332533836365,0.0,287.484402,-49.664942,300.67,13.3368705,788.0973496,91.167589,3.9228016,0.0383116845938427,0.0315109004906,1.8736007,2459036.472812,0.9145220047987858,0.6983,4444.0,4.438,0.1713459972189988,9.694431965128228e+29,13.6699,19.099055563511385,40715.90689555545,1
84,1074.01,TOI-1074,PC,1,,,310.761004,-72.010267,107.356,2.4233421,587.1759148,28.0927293,13.9428705,0.10771213954876,0.0010153955429999,3.7522756,2458662.652685,,0.741671,5206.0,4.63095,0.3640264407729325,1.705339608376474e+30,10.6339,3.2674084600854023,,1
85,1075.01,TOI-1075,CP,2,0.411531001329422,0.0,309.971209,-65.449699,61.4592,1.8625587,1222.5973095,528.0253155,0.6047392,0.0111074554251588,0.0010276833479,1.0403847,2458654.249503,0.4478831406457418,0.580337,4046.0,4.60963,0.0813125746658232,9.940970928914656e+29,11.1186,3.209443306216905,332.0972777887582,1
86,1076.01,TOI-1076,KP,2,0.2914615273475647,0.0,294.633694,-55.330269,248.46,12.9171288,1337.8645148,757.1284067,2.5495611,0.0377346056081305,0.0149214021936,2.6173308,2458654.163257,0.375653261471628,1.03997,5659.0,4.44653,0.9992958338035242,2.1928549517096133e+30,11.2474,12.420674442531997,2895.503124156065,1
87,1077.01,TOI-1077,PC,1,0.6539842486381531,1.0,173.810798,-88.096213,463.683,12.6436029,1374.8018137,844.2700581,1.6062693,0.027046466544336,0.0167253019333,1.9561305,2458654.102739,0.6016173535667305,0.984326,5192.0,4.4617,0.6343228072586173,2.0343056087874024e+30,13.461,12.844934401814031,4789.480087071576,1
88,1078.01,TOI-1078,CP,2,,,306.928646,-56.462287,20.373,1.3485121,1019.3295979,255.1405815,0.5182425,0.0095282695526034,0.0008318920424,0.8565249,2458654.10332,,0.390989,3325.0,4.88693,0.0168340787800739,8.544710664376785e+29,10.1165,3.448977081196658,,1
89,1079.01,TOI-1079,PC,1,0.8024527430534363,1.0,283.119492,-55.387928,1179.27,14.8814743,1747.9490013,2206.1550476,3.1644075,0.0513158256181776,0.0056034635466,2.0576293,2458656.380357,0.9313386594042572,1.7234,6519.0,4.22068,4.832699370205158,3.580061277852234e+30,13.1284,8.63495085296507,2701.755731485613,1
90,108.01,TOI-108,KP,2,0.2778469324111938,0.0,316.96148,-26.09672,421.855,12.1086799,1075.3184542,315.9871326,3.0440541,0.0380881660638811,0.0222360165376,2.5984575,2458328.08383,0.1250437701806572,0.809868,5523.0,4.52192,0.5498222738189698,1.581928176123013e+30,13.163,14.951424059229405,5938.624804271137,1
91,1080.01,TOI-1080,PC,1,0.430949866771698,0.0,276.368325,-52.214573,25.559,1.2305102,386.6684768,5.2829448,3.9652485,0.0251502258431333,0.0036807544435999,1.0112593,2458654.060577,0.5485160279141251,0.199988,3296.0,4.96636,0.0042525591670114,2.684146139451616e+29,12.7067,6.152920175210514,11730.401982799309,1
92,1081.01,TOI-1081,PC,1,,,282.140409,-40.11177,354.05,11.467011,,,2.98278,0.0420858288175297,0.006136231662,3.109528,2458654.026119,0.4292713274630431,1.23975,6027.0,4.29978,1.8271183447171275,2.2227290061109069e+30,11.5247,9.249454325468845,898.5005514253183,1
